__id,unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location_address,location_city,location_state,location_zip,location.type,location.coordinates,location
row-5b6p_nsgn~5dxk,57488375,2023-05-02T20:51:21.000,2023-05-04T08:14:22.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10075,1494 1 AVENUE,1 AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www.nyc.gov/hpd.",2023-05-04T00:00:00.000,08 MANHATTAN,1014720047,MANHATTAN,997200.0,220380.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77155905845877,-73.9532462599786,,,,,Point,"[-73.9532462599786, 40.77155905845877]",
row-3zt8_zgyj_znsv,19413730,2010-12-20T10:42:08.000,2010-12-23T00:00:00.000,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10451,401 EAST  157 STREET,EAST  157 STREET,MELROSE AVENUE,ELTON AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2010-12-23T00:00:00.000,01 BRONX,2023790007,BRONX,1007795.0,238620.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.821601009296515,-73.9149309078532,,,,,Point,"[-73.9149309078532, 40.821601009296515]",
row-wdmi-pbph-gt26,20320505,2011-04-27T11:08:17.000,2011-04-27T11:08:17.000,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10451,401 EAST  157 STREET,EAST  157 STREET,MELROSE AVENUE,ELTON AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2011-04-27T00:00:00.000,01 BRONX,2023790007,BRONX,1007795.0,238620.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.821601009296515,-73.9149309078532,,,,,Point,"[-73.9149309078532, 40.821601009296515]",
row-k7ec_tajp-7qp4,20424757,2011-03-18T11:18:05.000,2024-01-22T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11377,52-31 SKILLMAN AVENUE,SKILLMAN AVENUE,,,,,ADDRESS,WOODSIDE,,,Closed,,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of a portion of the property. A partial vacate order has been issued.,2024-01-22T00:00:00.000,02 QUEENS,4012380061,QUEENS,1008677.0,211026.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74586047035225,-73.91184453985524,,,,,Point,"[-73.91184453985524, 40.74586047035225]",
row-jhyr-x9d7~ua7y,20426581,2011-03-29T14:53:17.000,2025-05-06T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11369,24-02 98 STREET,98 STREET,24 AVENUE,25 AVENUE,,,ADDRESS,EAST ELMHURST,,,Closed,,The Department of Buildings has investigated this complaint and found that previous conditions that presented an imminent danger during occupancy of the property have been corrected. A full vacate order rescission has been granted.,2025-05-06T00:00:00.000,03 QUEENS,4011080007,QUEENS,1019682.0,218493.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.766318215266466,-73.87208890582546,,,,,Point,"[-73.87208890582546, 40.766318215266466]",
row-rpvz-gcu2-tg4x,21102696,2011-08-24T11:17:03.000,2011-12-07T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11234,7007 VETERANS AVENUE,VETERANS AVENUE,EAST 70 STREET,EAST 71 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2011-12-07T00:00:00.000,18 BROOKLYN,3084110150,BROOKLYN,1009592.0,165204.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62008703724327,-73.90871469751634,,,,,Point,"[-73.90871469751634, 40.62008703724327]",
row-27sd-unjn-pewc,57507916,2023-05-04T21:11:44.000,2023-05-05T14:12:51.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10467,2324 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-05-05T00:00:00.000,11 BRONX,2043470007,BRONX,1020994.0,252732.0,ONLINE,Unspecified,BRONX,,,,,,,,40.860289246119095,-73.86716509774867,,,,,Point,"[-73.86716509774867, 40.860289246119095]",
row-za7s.ebcp~cmej,57515626,2023-05-05T19:58:49.000,2023-05-06T09:59:29.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10463,2600 NETHERLAND AVENUE,NETHERLAND AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-05-06T00:00:00.000,08 BRONX,2057220475,BRONX,1007568.0,259439.0,ONLINE,Unspecified,BRONX,,,,,,,,40.87874357609838,-73.91567866115459,,,,,Point,"[-73.91567866115459, 40.87874357609838]",
row-un42_t84i_5r48,21051815,2011-08-16T16:22:54.000,2024-01-22T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11377,40-32 61 STREET,61 STREET,WOODSIDE AVENUE,43 AVENUE,,,ADDRESS,WOODSIDE,,,Closed,,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of a portion of the property. A partial vacate order has been issued.,2024-01-22T00:00:00.000,02 QUEENS,4013350064,QUEENS,1011031.0,210519.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74446206754057,-73.90335113178459,,,,,Point,"[-73.90335113178459, 40.74446206754057]",
row-vkm4-xg7n-a94s,31339382,2015-08-18T12:04:28.000,2015-08-24T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11234,7007 VETERANS AVENUE,VETERANS AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2015-08-24T00:00:00.000,18 BROOKLYN,3084110150,BROOKLYN,1009592.0,165204.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62008703724327,-73.90871469751634,,,,,Point,"[-73.90871469751634, 40.62008703724327]",
